Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,203.9157,25-06-2026
SBI Small Cap Fund - Direct Plan - Growth,205.0655,24-06-2026
SBI Small Cap Fund - Direct Plan - Growth,203.5443,23-06-2026
SBI Small Cap Fund - Direct Plan - Growth,204.1263,22-06-2026
SBI Small Cap Fund - Direct Plan - Growth,202.0761,19-06-2026
SBI Small Cap Fund - Direct Plan - Growth,200.9565,18-06-2026
SBI Small Cap Fund - Direct Plan - Growth,199.8302,17-06-2026
SBI Small Cap Fund - Direct Plan - Growth,198.6152,16-06-2026
SBI Small Cap Fund - Direct Plan - Growth,198.032,15-06-2026
SBI Small Cap Fund - Direct Plan - Growth,196.5577,12-06-2026
SBI Small Cap Fund - Direct Plan - Growth,192.6722,11-06-2026
SBI Small Cap Fund - Direct Plan - Growth,193.4371,10-06-2026
SBI Small Cap Fund - Direct Plan - Growth,194.3813,09-06-2026
SBI Small Cap Fund - Direct Plan - Growth,191.9092,08-06-2026
SBI Small Cap Fund - Direct Plan - Growth,194.7547,05-06-2026
SBI Small Cap Fund - Direct Plan - Growth,194.522,04-06-2026
SBI Small Cap Fund - Direct Plan - Growth,194.081,03-06-2026
SBI Small Cap Fund - Direct Plan - Growth,193.1295,02-06-2026
SBI Small Cap Fund - Direct Plan - Growth,192.3195,01-06-2026
SBI Small Cap Fund - Direct Plan - Growth,193.6836,31-05-2026
SBI Small Cap Fund - Direct Plan - Growth,193.6848,29-05-2026
SBI Small Cap Fund - Direct Plan - Growth,195.0501,27-05-2026
SBI Small Cap Fund - Direct Plan - Growth,194.2258,26-05-2026
SBI Small Cap Fund - Direct Plan - Growth,193.5599,25-05-2026
SBI Small Cap Fund - Direct Plan - Growth,192.1227,22-05-2026
SBI Small Cap Fund - Direct Plan - Growth,191.7575,21-05-2026
SBI Small Cap Fund - Direct Plan - Growth,189.8661,20-05-2026
SBI Small Cap Fund - Direct Plan - Growth,189.5553,19-05-2026
SBI Small Cap Fund - Direct Plan - Growth,187.9126,18-05-2026
SBI Small Cap Fund - Direct Plan - Growth,190.2405,15-05-2026
SBI Small Cap Fund - Direct Plan - Growth,189.9345,14-05-2026
SBI Small Cap Fund - Direct Plan - Growth,190.464,13-05-2026
SBI Small Cap Fund - Direct Plan - Growth,190.6152,12-05-2026
SBI Small Cap Fund - Direct Plan - Growth,195.586,11-05-2026
SBI Small Cap Fund - Direct Plan - Growth,196.8821,08-05-2026
SBI Small Cap Fund - Direct Plan - Growth,197.4753,07-05-2026
SBI Small Cap Fund - Direct Plan - Growth,196.0036,06-05-2026
SBI Small Cap Fund - Direct Plan - Growth,194.5618,05-05-2026
SBI Small Cap Fund - Direct Plan - Growth,195.4469,04-05-2026
SBI Small Cap Fund - Direct Plan - Growth,193.4131,30-04-2026
SBI Small Cap Fund - Direct Plan - Growth,194.1523,29-04-2026
SBI Small Cap Fund - Direct Plan - Growth,193.4843,28-04-2026
SBI Small Cap Fund - Direct Plan - Growth,193.8317,27-04-2026
SBI Small Cap Fund - Direct Plan - Growth,191.0425,24-04-2026
SBI Small Cap Fund - Direct Plan - Growth,193.0317,23-04-2026
SBI Small Cap Fund - Direct Plan - Growth,194.1928,22-04-2026
SBI Small Cap Fund - Direct Plan - Growth,192.6397,21-04-2026
SBI Small Cap Fund - Direct Plan - Growth,191.0583,20-04-2026
SBI Small Cap Fund - Direct Plan - Growth,190.5242,17-04-2026
SBI Small Cap Fund - Direct Plan - Growth,188.3316,16-04-2026
SBI Small Cap Fund - Direct Plan - Growth,187.2786,15-04-2026
SBI Small Cap Fund - Direct Plan - Growth,184.3491,13-04-2026
SBI Small Cap Fund - Direct Plan - Growth,184.6967,10-04-2026
SBI Small Cap Fund - Direct Plan - Growth,181.2455,09-04-2026
SBI Small Cap Fund - Direct Plan - Growth,180.5783,08-04-2026
SBI Small Cap Fund - Direct Plan - Growth,174.8342,07-04-2026
SBI Small Cap Fund - Direct Plan - Growth,174.9151,06-04-2026
SBI Small Cap Fund - Direct Plan - Growth,173.8471,02-04-2026
SBI Small Cap Fund - Direct Plan - Growth,173.782,01-04-2026
SBI Small Cap Fund - Direct Plan - Growth,169.3706,31-03-2026
SBI Small Cap Fund - Direct Plan - Growth,169.3708,30-03-2026
SBI Small Cap Fund - Direct Plan - Growth,172.4739,27-03-2026
SBI Small Cap Fund - Direct Plan - Growth,175.4211,25-03-2026
SBI Small Cap Fund - Direct Plan - Growth,172.0049,24-03-2026
SBI Small Cap Fund - Direct Plan - Growth,169.1091,23-03-2026
SBI Small Cap Fund - Direct Plan - Growth,174.6205,20-03-2026
SBI Small Cap Fund - Direct Plan - Growth,173.9004,19-03-2026
SBI Small Cap Fund - Direct Plan - Growth,177.4908,18-03-2026
SBI Small Cap Fund - Direct Plan - Growth,174.0628,17-03-2026
SBI Small Cap Fund - Direct Plan - Growth,173.8198,16-03-2026
SBI Small Cap Fund - Direct Plan - Growth,173.9754,13-03-2026
SBI Small Cap Fund - Direct Plan - Growth,177.9888,12-03-2026
SBI Small Cap Fund - Direct Plan - Growth,178.3891,11-03-2026
SBI Small Cap Fund - Direct Plan - Growth,178.8419,10-03-2026
SBI Small Cap Fund - Direct Plan - Growth,175.7742,09-03-2026
SBI Small Cap Fund - Direct Plan - Growth,178.9784,06-03-2026
SBI Small Cap Fund - Direct Plan - Growth,179.3239,05-03-2026
SBI Small Cap Fund - Direct Plan - Growth,177.9961,04-03-2026
SBI Small Cap Fund - Direct Plan - Growth,181.3175,02-03-2026
SBI Small Cap Fund - Direct Plan - Growth,184.7579,28-02-2026
SBI Small Cap Fund - Direct Plan - Growth,184.7581,27-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.095,26-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.0488,25-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.208,24-02-2026
SBI Small Cap Fund - Direct Plan - Growth,187.5721,23-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.2228,20-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.6666,19-02-2026
SBI Small Cap Fund - Direct Plan - Growth,188.2128,18-02-2026
SBI Small Cap Fund - Direct Plan - Growth,187.6437,17-02-2026
SBI Small Cap Fund - Direct Plan - Growth,185.8471,16-02-2026
SBI Small Cap Fund - Direct Plan - Growth,187.236,13-02-2026
SBI Small Cap Fund - Direct Plan - Growth,189.6029,12-02-2026
SBI Small Cap Fund - Direct Plan - Growth,189.7464,11-02-2026
SBI Small Cap Fund - Direct Plan - Growth,189.019,10-02-2026
SBI Small Cap Fund - Direct Plan - Growth,188.469,09-02-2026
SBI Small Cap Fund - Direct Plan - Growth,184.627,06-02-2026
SBI Small Cap Fund - Direct Plan - Growth,185.6949,05-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.7774,04-02-2026
SBI Small Cap Fund - Direct Plan - Growth,186.7009,03-02-2026
SBI Small Cap Fund - Direct Plan - Growth,180.5424,02-02-2026
SBI Small Cap Fund - Direct Plan - Growth,183.301,31-01-2026
SBI Small Cap Fund - Direct Plan - Growth,183.3021,30-01-2026
SBI Small Cap Fund - Direct Plan - Growth,179.9408,29-01-2026
SBI Small Cap Fund - Direct Plan - Growth,181.0873,28-01-2026
SBI Small Cap Fund - Direct Plan - Growth,179.5515,27-01-2026
SBI Small Cap Fund - Direct Plan - Growth,179.8035,23-01-2026
SBI Small Cap Fund - Direct Plan - Growth,182.7544,22-01-2026
